"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
1729,456781,"Solano, Donovan",4268,40.5,0.259,0.109,0.327,0.368,0.306,0.315,0.264,105,405,89.1,12.6,2266,89,89.22,195,850,879,0.20000000000000284,6.4,110,151,120,147,301,318,286,"-2.3","2.3","64.7","6.9",443,309,74,24,1,6,96,21.7,30,6.8,2.26368,0.66341,0.3217,-0.03498,"91.1",161,39.80582524271845,4.53074433656958,3.160270880361174,5.86,-0.54,0.23,2.27,0.323,14,"0.133603239",0.327,0.385,"-0.133603239",-0.005,-0.0040000000000000036,-0.017,-0.009,22.9,"40.6"
1690,660707,"Montero, Elehuris",2762,61.2,0.224,0.139,0.297,0.363,0.28,0.268,0.206,92,411,89.6,13,2272,87.9,88.32,300,902,788,0.3999999999999915,6.4,109,151,122,147,307,328,296,"7.5","-7.5","73.5","7.4",452,286,57,23,2,10,131,29,32,7.1,2.60167,0.39311,0.20448,-0.03005,"92.3",161,45.45454545454545,7.6923076923076925,4.867256637168142,5.74,-0.53,0.32,2.17,0.281,22,"-0.446094675",0.27,0.327,"0.446094675",0.018,0.01100000000000001,0.036,0.012,33.3,"38.3"
1684,664913,"Brown, Seth",5192,32.4,0.25,0.214,0.284,0.464,0.332,0.327,0.253,104,416,89.4,14.5,2189,88.1,88.23,219,836,848,0.10000000000000853,6.37,116,157,120,152,294,324,300,"-4.1","4.1","71.5","7.1",455,317,59,21,4,20,102,22.4,33,7.3,2.43996,0.55046,0.37441,-0.35978,"92.5",163,41.95583596214511,9.779179810725552,6.813186813186813,5.74,-1.37,-0.19,2.28,0.308,31,"0.245071259",0.312,0.436,"-0.245071259",-0.003,-0.0040000000000000036,0.028,0.005,26.2,"36.8"
1681,572138,"Singleton, Jon",2048,82.1,0.227,0.148,0.28,0.374,0.308,0.313,0.229,83,366,89.2,13.1,2249,88.8,88.86,193,678,1003,0.10000000000000853,6.43,118,145,129,152,291,327,297,"-0.3","0.3","69.8","7.0",419,260,57,12,0,14,108,25.8,51,12.2,2.3519,0.59169,0.35157,-0.25576,"92.1",160,40.38461538461539,8.076923076923077,5.011933174224343,5.8,-0.95,-0.18,2.25,0.32,21,"0.015407496",0.323,0.381,"-0.015407496",-0.002,-0.0030000000000000027,-0.007,-0.005,28.5,"37.7"
1660,663845,"Rivas III, Alfonso",1747,95,0.236,0.108,0.333,0.344,0.294,0.285,0.225,81,343,86.3,5.9,2254,89.3,89.36,184,704,956,0.10000000000000853,6.34,115,150,113,150,290,321,301,"0.3","-0.3",,,389,233,59,13,3,6,115,29.6,34,8.7,2.31313,0.5945,0.39873,-0.32582,"90.8",150,36.48068669527897,4.721030042918455,2.827763496143959,5.74,-1.3,-0.12,2.37,0.315,11,"-0.020662651",0.306,0.325,"0.020662651",0.011,0.009000000000000008,0.019,0.009,26.1,"37.1"
1603,680911,"Miller, Owen",3131,51.2,0.247,0.116,0.294,0.363,0.291,0.287,0.246,92,372,86.8,12,2287,89,88.99,134,768,835,0,6.28,107,150,118,147,297,317,285,"8.7","-8.7","69.3","6.8",408,299,62,23,1,6,79,19.4,24,5.9,2.25226,0.66788,0.28074,-0.08144,"90.8",156,31.103678929765888,3.0100334448160537,2.2058823529411766,5.8,-0.52,0.25,2.26,0.299,9,"-0.542482845",0.3,0.343,"0.542482845",0.001,-0.0010000000000000009,0.02,0.004,17.4,"39.7"
1572,608841,"Meneses, Joey",4623,34,0.274,0.161,0.316,0.435,0.326,0.308,0.256,107,391,90.2,7.5,2254,89,89.33,184,787,785,0.29999999999999716,6.48,109,151,122,147,303,322,291,"-10.4","10.4","69.1","7.0",423,310,70,24,0,13,85,20.1,24,5.7,2.33204,0.58674,0.33313,0.07628,"91.9",150,43.87096774193549,7.419354838709677,5.4373522458628845,5.81,-0.33,0.16,2.31,0.319,23,"0.659923664",0.305,0.398,"-0.659923664",0.018,0.014000000000000012,0.037,0.018,23.4,"37.6"
1529,666915,"Dalbec, Bobby",2117,72.2,0.203,0.12,0.302,0.323,0.262,0.266,0.196,66,325,89.7,14.6,2253,88.5,88.58,260,734,795,0.09999999999999432,6.4,108,152,122,147,296,324,296,"14.5","-14.5","70.1","7.0",358,199,46,10,1,9,130,36.3,25,7,2.31027,0.66711,0.25179,-0.1364,"91.5",157,46.231155778894475,10.552763819095476,5.865921787709497,5.73,-0.66,0.25,2.31,0.266,21,"-0.945716154",0.261,0.339,"0.945716154",0.007,0.0050000000000000044,-0.016,-0.004,35.4,"38.3"
1519,474832,"Belt, Brandon",2995,50.7,0.223,0.103,0.33,0.326,0.306,0.326,0.218,69,310,86.4,21.4,2260,89.7,89.78,224,686,833,0.09999999999999432,6.35,115,157,117,151,293,324,302,"10.1","-10.1",,,368,199,48,15,1,5,112,30.4,52,14.1,2.16346,0.73814,0.39021,-0.21311,"90.9",164,38.19095477386934,10.552763819095476,5.706521739130435,5.8,-1,-0.11,2.39,0.342,21,"-0.667281106",0.339,0.392,"0.667281106",0.005,0.0030000000000000027,-0.066,-0.02,32.7,"38.0"
1444,608336,"Gallo, Joey",4228,34.2,0.189,0.236,0.252,0.426,0.315,0.308,0.179,56,296,91.7,26,2235,89.2,89.53,255,670,774,0.29999999999999716,6.5,115,145,124,151,300,325,296,"-1.4","1.4","71.3","7.2",344,169,23,14,1,18,128,37.2,45,13.1,2.28647,0.63179,0.382,-0.23938,"92.4",174,49.112426035502956,15.976331360946746,7.848837209302325,5.79,-1.13,-0.17,2.38,0.299,27,"0.095498615",0.291,0.415,"-0.095498615",0.01,0.008000000000000007,0.011,0.007,38.1,"37.4"
