"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"FF","2024-09-29","93","-2.2","5.44","Alonso, Pete",624413,607067,"hit_by_pitch","hit_by_pitch",,,,,11,"Pete Alonso hit by pitch.    Mark Vientos to 2nd.","R","R","R","MIL","NYM","B",,,0,1,2024,"-0.72","1.26","-1.62","3.6",,,668901,0,5,"Top",,,,,,,3.092741913222562,-135.39883085922506,-1.7434470831523528,-9.55713409265698,29.019906166248905,-16.477845043322773,"3.47","1.64",,,,"93.8",2240,"6.7",745932,606992,641343,668930,687401,642715,686555,663368,694192,"53.82",,0.720192,"0.7",1,0,0,,38,2,"4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard",214,"-0.025","0.662",,,,"-0.662",,-3,3,"0.136","0.864",33,29,34,30,3,2,5,1,,1,"1.37","0.72","0.72","30.1"
"FF","2024-09-29","93.1","-2.03","5.46","Alonso, Pete",624413,607067,,"swinging_strike",,,,,6,"Pete Alonso hit by pitch.    Mark Vientos to 2nd.","R","R","R","MIL","NYM","S",,,0,0,2024,"-0.53","1.35","0.5","2.71",,,668901,0,5,"Top",,,,,,,7.707040692192896,-135.44272924985177,-4.329604342278838,-8.138167670212743,28.138645862300084,-14.760510972761434,"3.47","1.64",,,,"94.1",2258,"6.8",745932,606992,641343,668930,687401,642715,686555,663368,694192,"53.71",,,,,,,,38,1,"4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard",218,"0","-0.063","79.9","7.5",,"0.063",,-3,3,"0.136","0.864",33,29,34,30,3,2,5,1,,1,"1.27","0.53","0.53","34.3"
"FF","2024-09-29","92.5","-1.94","5.45","Alonso, Pete",624413,607067,"strikeout","foul_tip",,,,,12,"Pete Alonso strikes out on a foul tip.","R","R","R","MIL","NYM","S",2,,0,2,2024,"-0.39","1.19","0.29","3.75",,578428,,2,3,"Top",,,,,,,6.599381841699221,-134.67021287059572,-1.159474070695338,-6.182010872741452,27.864990637907628,-17.632527803120464,"3.47","1.64",,,,"93.5",2197,"6.8",745932,606992,641343,668930,687401,642715,686555,663368,694192,"53.74",,0,"0",1,0,0,,23,3,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",204,"0.033","-0.216","73.0","6.6",,"0.216",,-1,1,"0.397","0.603",33,29,34,30,2,1,5,1,,1,"1.46","0.39","0.39","32.2"
"CU","2024-09-29","79.4","-1.96","5.55","Alonso, Pete",624413,607067,,"swinging_strike",,,,,14,"Pete Alonso strikes out on a foul tip.","R","R","R","MIL","NYM","S",,,0,1,2024,"0.94","-0.68","0.53","1.01",,578428,,2,3,"Top",,,,,,,3.7083725379840216,-115.61474690979514,-1.8883605467495,7.703019492368634,22.54523629085276,-38.08931855049862,"3.47","1.64",,,,"79.8",2338,"6.7",745932,606992,641343,668930,687401,642715,686555,663368,694192,"53.85",,,,,,,,23,2,"Curveball",0,1,1,0,1,0,1,0,"Standard","Standard",42,"0","-0.074","69.8","8.5",,"0.074",,-1,1,"0.397","0.603",33,29,34,30,2,1,5,1,,1,"4.3","-0.94","-0.94","37.9"
"FF","2024-09-29","93.9","-2","5.37","Alonso, Pete",624413,607067,,"foul",,,,,5,"Pete Alonso strikes out on a foul tip.","R","R","R","MIL","NYM","S",,,0,0,2024,"-0.56","1.25","0.23","2.26",,578428,,2,3,"Top",,,,,,,7.087893986099894,-136.6197231270465,-5.150168895153049,-8.576112489539621,29.336645452339035,-15.572480392360967,"3.47","1.64",224,"78.8",23,"94.8",2172,"6.8",745932,606992,641343,668930,687401,642715,686555,663368,694192,"53.72",,,,,,,,23,1,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",219,"0","-0.045","77.8","7.2",,"0.045","88.0",-1,1,"0.397","0.603",33,29,34,30,2,1,5,1,,1,"1.33","0.56","0.56","33.4"
"FF","2024-09-29","94.9","2.45","5.44","Alonso, Pete",624413,669084,"field_out","hit_into_play",,,,,4,"Pete Alonso pops out to first baseman Jake Bauers.","R","R","L","MIL","NYM","X",3,"popup",0,0,2024,"0.33","1.39","-0.8","2.7",,,,1,9,"Top",149.94,167.51,,,,,-9.366046702898348,-137.90874308585296,-4.673493487716814,6.264060734223987,30.491833188039863,-13.523151417321042,"3.47","1.64",105,"46.4",48,"96.2",2357,"7.1",745932,606992,641343,668930,655316,687401,686555,663368,694192,"53.39",0.051,0.046,"0",1,0,0,1,70,1,"4-Seam Fastball",0,5,5,0,5,0,5,0,"Infield shade","Standard",149,"0","-0.162","71.9","6.5",0.051,"0.162","88.0",-5,5,"0.006","0.994",25,29,26,30,1,4,4,1,,1,"1.14","0.33","-0.33","45.9"
"FF","2024-09-29","94.2","-2","5.4","Alonso, Pete",624413,607067,"walk","ball",,,,,14,"Pete Alonso walks.","R","R","R","MIL","NYM","B",,,3,2,2024,"-0.47","1.19","1.51","1.75",,607043,,2,1,"Top",,,,,,,10.245933466774321,-136.70634625644368,-6.501438296652058,-8.041993635548652,28.21719288659755,-15.940933267906619,"3.55","1.72",,,,"95.2",2195,"6.9",745932,606992,641343,668930,687401,642715,686555,663368,694192,"53.64",,0.689131,"0.7",1,0,0,,5,6,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",221,"-0.008","0.127",,,,"-0.127",,-1,1,"0.412","0.588",33,29,34,30,1,0,5,1,,1,"1.38","0.47","0.47","32.3"
"ST","2024-09-29","82.7","-1.97","5.37","Alonso, Pete",624413,607067,,"ball",,,,,14,"Pete Alonso walks.","R","R","R","MIL","NYM","B",,,2,2,2024,"1.24","0.25","2.37","0.84",,607043,,2,1,"Top",,,,,,,7.536086217812235,-120.22850178178997,-4.289514427917149,10.353928510210968,25.440893059874757,-29.093707473807903,"3.58","1.66",,,,"83",2303,"6.7",745932,606992,641343,668930,687401,642715,686555,663368,694192,"53.76",,,,,,,,5,5,"Sweeper",0,1,1,0,1,0,1,0,"Standard","Standard",53,"0","0.054",,,,"-0.054",,-1,1,"0.412","0.588",33,29,34,30,1,0,5,1,,1,"3.12","-1.24","-1.24","32.4"
"FF","2024-09-29","93.3","-2.1","5.38","Alonso, Pete",624413,607067,,"swinging_strike",,,,,9,"Pete Alonso walks.","R","R","R","MIL","NYM","S",,,2,1,2024,"-0.54","1.15","0.57","2.08",,,607043,2,1,"Top",,,,,,,8.12764710074414,-135.6146503075429,-5.32320417068539,-8.393472300728321,27.772546661218644,-16.931012619190266,"3.47","1.64",,,,"94.2",2198,"6.7",745932,606992,641343,668930,687401,642715,686555,663368,694192,"53.76",,,,,,,,5,4,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Strategic","Standard",208,"-0.01","-0.061","77.1","6.8",,"0.061",,-1,1,"0.422","0.578",33,29,34,30,1,0,5,1,,1,"1.46","0.54","0.54","30.7"
"ST","2024-09-29","82.2","-2.18","5.46","Alonso, Pete",624413,607067,,"blocked_ball",,,,,14,"Pete Alonso walks.","R","R","R","MIL","NYM","B",,,1,1,2024,"0.88","-0.46","0.64","0.73",,,607043,2,1,"Top",,,,,,,4.7059419860066,-119.66489810609907,-3.2560063811532585,7.450047185530379,25.12129321770868,-36.08496803031457,"3.55","1.69",,,,"82.5",2140,"6.7",745932,606992,641343,668930,687401,642715,686555,663368,694192,"53.84",,,,,,,,5,3,"Sweeper",0,1,1,0,1,0,1,0,"Strategic","Standard",53,"0","0.042",,,,"-0.042",,-1,1,"0.422","0.578",33,29,34,30,1,0,5,1,,1,"3.85","-0.88","-0.88","31.2"
